config,file,testname,timestamp
default,mod,test_diff,0.040000999999999995
default,mod,test_diff_u32,0.021
default,mod,test_diff_u64,0.042003
default,mod,test_huge,0.040000999999999995
default,mod,test_huge_uninit,0.01
default,mod,test_multithreading,0.010999
default,mod,test_small,0.038001
default,mod,test_small_uninit,0.038001
default,mod,test_zero,0.042001
miri,mod,test_diff,0.942002
miri,mod,test_diff_u32,0.9010009999999999
miri,mod,test_diff_u64,0.8220040000000001
miri,mod,test_huge,0.6599980000000001
miri,mod,test_huge_uninit,0.6160019999999999
miri,mod,test_multithreading,2.096002
miri,mod,test_small,4.088001
miri,mod,test_small_uninit,4.222001000000001
miri,mod,test_zero,0.650003
miri-tree,mod,test_diff,1.227002
miri-tree,mod,test_diff_u32,1.194007
miri-tree,mod,test_diff_u64,1.0460019999999999
miri-tree,mod,test_huge,0.777002
miri-tree,mod,test_huge_uninit,0.8500030000000001
miri-tree,mod,test_multithreading,2.5670010000000003
miri-tree,mod,test_small,6.420006
miri-tree,mod,test_small_uninit,6.886002
miri-tree,mod,test_zero,1.044004
