config,file,testname,total_points,total_bytes,insert_allocation,new_allocation,grow_amortized,grow_one,finish_grow,add_name,tree_new,b_retag,eval_callee,provenance_gc,perform_transition,miri_machine
miri,lib,sockaddr-tests-ipv6,46319,487736734,"{""avg"":870972.9182879378,""avg_top"":180770.62068965516,""bytes"":223840040,""bytes_top"":10484696,""count"":257,""count_top"":58}","{""avg"":334972.98214285716,""avg_top"":344535.0414746544,""bytes"":75033948,""bytes_top"":74764104,""count"":224,""count_top"":217}","{""avg"":833277.245508982,""avg_top"":1987557.0285714285,""bytes"":139157300,""bytes_top"":139128992,""count"":167,""count_top"":70}","{""avg"":33245.67618287083,""avg_top"":5249.7078838174275,""bytes"":166527592,""bytes_top"":25303592,""count"":5009,""count_top"":4820}","{""avg"":24466.4531835206,""avg_top"":36188.14367816092,""bytes"":6532543,""bytes_top"":6296737,""count"":267,""count_top"":174}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":113402.00847457627,""avg_top"":0.0,""bytes"":26762874,""bytes_top"":0,""count"":236,""count_top"":0}","{""avg"":114673.69096209912,""avg_top"":12845808.0,""bytes"":39333076,""bytes_top"":25691616,""count"":343,""count_top"":2}","{""avg"":22069.81818181818,""avg_top"":0.0,""bytes"":242768,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":151159.27092320967,""avg_top"":583150.7727272727,""bytes"":350387190,""bytes_top"":76975902,""count"":2318,""count_top"":132}"
miri-tree,lib,sockaddr-tests-ipv6_hash,46623,624041982,"{""avg"":605038.3812154696,""avg_top"":185512.40677966102,""bytes"":219023894,""bytes_top"":10945232,""count"":362,""count_top"":59}","{""avg"":206021.475,""avg_top"":78268.88311688312,""bytes"":65926872,""bytes_top"":6026704,""count"":320,""count_top"":77}","{""avg"":860950.1775147929,""avg_top"":2074467.657142857,""bytes"":145500580,""bytes_top"":145212736,""count"":169,""count_top"":70}","{""avg"":58869.49521764591,""avg_top"":5282.819917012448,""bytes"":301588424,""bytes_top"":25463192,""count"":5123,""count_top"":4820}","{""avg"":397252.461038961,""avg_top"":496733.9593495935,""bytes"":183530637,""bytes_top"":183294831,""count"":462,""count_top"":369}","{""avg"":19115.843137254902,""avg_top"":19115.843137254902,""bytes"":974908,""bytes_top"":974908,""count"":51,""count_top"":51}","{""avg"":236630.44029850746,""avg_top"":114183.11111111111,""bytes"":63416958,""bytes_top"":7193536,""count"":268,""count_top"":63}","{""avg"":119039.61170212766,""avg_top"":70465.2,""bytes"":44758894,""bytes_top"":2818608,""count"":376,""count_top"":40}","{""avg"":125679.71014492754,""avg_top"":13568496.0,""bytes"":43359500,""bytes_top"":27136992,""count"":345,""count_top"":2}","{""avg"":143927.38461538462,""avg_top"":0.0,""bytes"":1871056,""bytes_top"":0,""count"":13,""count_top"":0}","{""avg"":3611855.407407407,""avg_top"":0.0,""bytes"":97520096,""bytes_top"":0,""count"":27,""count_top"":0}","{""avg"":184965.8939740656,""avg_top"":500034.90588235296,""bytes"":484980574,""bytes_top"":85005934,""count"":2622,""count_top"":170}"
miri-tree,lib,sys-in_addr_convertion,46623,615276740,"{""avg"":598100.1602209945,""avg_top"":183805.83050847458,""bytes"":216512258,""bytes_top"":10844544,""count"":362,""count_top"":59}","{""avg"":205885.3375,""avg_top"":77551.79220779221,""bytes"":65883308,""bytes_top"":5971488,""count"":320,""count_top"":77}","{""avg"":847581.9408284024,""avg_top"":2042040.6857142858,""bytes"":143241348,""bytes_top"":142942848,""count"":169,""count_top"":70}","{""avg"":57623.08491118485,""avg_top"":5279.802571547076,""bytes"":295203064,""bytes_top"":25459208,""count"":5123,""count_top"":4822}","{""avg"":390153.9413043478,""avg_top"":488378.76566757495,""bytes"":179470813,""bytes_top"":179235007,""count"":460,""count_top"":367}","{""avg"":18940.70588235294,""avg_top"":18940.70588235294,""bytes"":965976,""bytes_top"":965976,""count"":51,""count_top"":51}","{""avg"":235497.35925925925,""avg_top"":114461.46031746031,""bytes"":63584287,""bytes_top"":7211072,""count"":270,""count_top"":63}","{""avg"":120342.45623342175,""avg_top"":70564.2,""bytes"":45369106,""bytes_top"":2822568,""count"":377,""count_top"":40}","{""avg"":117858.07536231884,""avg_top"":13281072.0,""bytes"":40661036,""bytes_top"":26562144,""count"":345,""count_top"":2}","{""avg"":147138.46153846153,""avg_top"":0.0,""bytes"":1912800,""bytes_top"":0,""count"":13,""count_top"":0}","{""avg"":3330092.5714285714,""avg_top"":0.0,""bytes"":93242592,""bytes_top"":0,""count"":28,""count_top"":0}","{""avg"":182114.7787136294,""avg_top"":486528.08235294116,""bytes"":475683802,""bytes_top"":82709774,""count"":2612,""count_top"":170}"
miri-tree,lib,sockaddr-tests-ipv4_ipv6_eq,46623,601933650,"{""avg"":576590.6187845304,""avg_top"":176714.71186440677,""bytes"":208725804,""bytes_top"":10426168,""count"":362,""count_top"":59}","{""avg"":197702.06875,""avg_top"":74572.15584415584,""bytes"":63264662,""bytes_top"":5742056,""count"":320,""count_top"":77}","{""avg"":819129.9644970414,""avg_top"":1973505.3714285714,""bytes"":138432964,""bytes_top"":138145376,""count"":169,""count_top"":70}","{""avg"":56419.653973833236,""avg_top"":5281.388923459863,""bytes"":288925048,""bytes_top"":25461576,""count"":5121,""count_top"":4821}","{""avg"":383447.58387799567,""avg_top"":480236.7076502732,""bytes"":176002441,""bytes_top"":175766635,""count"":459,""count_top"":366}","{""avg"":18212.980392156864,""avg_top"":18212.980392156864,""bytes"":928862,""bytes_top"":928862,""count"":51,""count_top"":51}","{""avg"":227478.3432835821,""avg_top"":108856.88888888889,""bytes"":60964196,""bytes_top"":6857984,""count"":268,""count_top"":63}","{""avg"":114476.664,""avg_top"":67752.0,""bytes"":42928749,""bytes_top"":2710080,""count"":375,""count_top"":40}","{""avg"":114841.75072463768,""avg_top"":12833136.0,""bytes"":39620404,""bytes_top"":25666272,""count"":345,""count_top"":2}","{""avg"":160307.63636363635,""avg_top"":0.0,""bytes"":1763384,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":3360164.5714285714,""avg_top"":0.0,""bytes"":94084608,""bytes_top"":0,""count"":28,""count_top"":0}","{""avg"":177841.53578262535,""avg_top"":467903.4705882353,""bytes"":464699933,""bytes_top"":79543590,""count"":2613,""count_top"":170}"
default,lib,sys-in_addr_convertion,173,79848,"{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":1088.0,""avg_top"":0.0,""bytes"":8704,""bytes_top"":0,""count"":8,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}"
default,lib,sockaddr-tests-ipv4_ipv6_eq,173,79890,"{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":1088.0,""avg_top"":0.0,""bytes"":8704,""bytes_top"":0,""count"":8,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}"
miri,lib,sockaddr-tests-ipv4_ipv6_hash,46334,501155623,"{""avg"":903037.3540856031,""avg_top"":187316.9655172414,""bytes"":232080600,""bytes_top"":10864384,""count"":257,""count_top"":58}","{""avg"":341713.66071428574,""avg_top"":351493.1612903226,""bytes"":76543860,""bytes_top"":76274016,""count"":224,""count_top"":217}","{""avg"":871253.5808383233,""avg_top"":2078157.7142857143,""bytes"":145499348,""bytes_top"":145471040,""count"":167,""count_top"":70}","{""avg"":34499.291017964075,""avg_top"":5248.340248962656,""bytes"":172841448,""bytes_top"":25297000,""count"":5010,""count_top"":4820}","{""avg"":24378.38432835821,""avg_top"":35986.29142857143,""bytes"":6533407,""bytes_top"":6297601,""count"":268,""count_top"":175}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":110003.34042553192,""avg_top"":0.0,""bytes"":25850785,""bytes_top"":0,""count"":235,""count_top"":0}","{""avg"":124416.51461988305,""avg_top"":13602288.0,""bytes"":42550448,""bytes_top"":27204576,""count"":342,""count_top"":2}","{""avg"":24800.0,""avg_top"":0.0,""bytes"":272800,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":156874.9535083943,""avg_top"":627900.2878787878,""bytes"":364420517,""bytes_top"":82882838,""count"":2323,""count_top"":132}"
miri,lib,sockaddr-tests-ipv4_hash,46331,494158935,"{""avg"":886475.4241245136,""avg_top"":183827.8620689655,""bytes"":227824184,""bytes_top"":10662016,""count"":257,""count_top"":58}","{""avg"":337578.08928571426,""avg_top"":347224.18433179724,""bytes"":75617492,""bytes_top"":75347648,""count"":224,""count_top"":217}","{""avg"":852521.125748503,""avg_top"":2033467.4285714286,""bytes"":142371028,""bytes_top"":142342720,""count"":167,""count_top"":70}","{""avg"":33883.98961868636,""avg_top"":5246.766804979253,""bytes"":169724904,""bytes_top"":25289416,""count"":5009,""count_top"":4820}","{""avg"":24485.029962546818,""avg_top"":36216.64942528736,""bytes"":6537503,""bytes_top"":6301697,""count"":267,""count_top"":174}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":113151.15319148936,""avg_top"":0.0,""bytes"":26590521,""bytes_top"":0,""count"":235,""count_top"":0}","{""avg"":117442.48680351906,""avg_top"":13204272.0,""bytes"":40047888,""bytes_top"":26408544,""count"":341,""count_top"":2}","{""avg"":20423.333333333332,""avg_top"":0.0,""bytes"":245080,""bytes_top"":0,""count"":12,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":154129.50774526678,""avg_top"":604561.6818181818,""bytes"":358196976,""bytes_top"":79802142,""count"":2324,""count_top"":132}"
default,lib,sockaddr-tests-ipv6_hash,173,79869,"{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":1088.0,""avg_top"":0.0,""bytes"":8704,""bytes_top"":0,""count"":8,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}"
default,lib,sys-in6_addr_convertion,173,79855,"{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":1088.0,""avg_top"":0.0,""bytes"":8704,""bytes_top"":0,""count"":8,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}"
