build,crate,status,elapsed_seconds,timestamp,job_id
lazy,serde_core-1.0.228,success,9,2026-04-19T23:28:38Z,1603795
lazy,socket2-0.6.1,success,5,2026-04-19T23:28:44Z,1603795
lazy,syn-2.0.106,failed,2,2026-04-19T23:28:47Z,1603795
lazy,zerocopy-0.8.31,success,657,2026-04-19T23:39:45Z,1603795
lazy2,allocator-api2-0.2.21,failed,25,2026-04-19T23:40:13Z,1603795
lazy2,chacha20-0.10.0,success,696,2026-04-19T23:51:50Z,1603795
lazy2,either-1.11.0,success,12,2026-04-19T23:52:06Z,1603795
lazy2,foldhash-0.2.0,success,13,2026-04-19T23:52:21Z,1603795
lazy2,getrandom-0.4.0,success,23,2026-04-19T23:52:45Z,1603795
lazy2,hashbrown-0.16.1,success,42,2026-04-19T23:53:28Z,1603795
lazy2,indexmap-2.13.0,success,173,2026-04-19T23:56:22Z,1603795
lazy2,itertools-0.14.0,success,737,2026-04-20T00:08:40Z,1603795
lazy2,libc-0.2.178,success,12,2026-04-20T00:08:55Z,1603795
lazy2,linux-raw-sys-0.11.0,success,3,2026-04-20T00:08:59Z,1603795
lazy2,log-0.4.29,success,12,2026-04-20T00:09:12Z,1603795
lazy2,memchr-2.7.6,success,340,2026-04-20T00:14:53Z,1603795
lazy2,ppv-lite86-0.2.21,success,13,2026-04-20T00:15:09Z,1603795
lazy2,proc-macro2-1.0.101,success,22,2026-04-20T00:15:32Z,1603795
lazy2,rand-0.10.0,success,105,2026-04-20T00:17:19Z,1603795
lazy2,regex-automata-0.4.13,failed,71,2026-04-20T00:18:31Z,1603795
lazy2,rustix-1.1.3,failed,7,2026-04-20T00:18:40Z,1603795
lazy2,serde_core-1.0.228,success,9,2026-04-20T00:18:50Z,1603795
lazy2,socket2-0.6.1,success,5,2026-04-20T00:18:56Z,1603795
lazy2,syn-2.0.106,failed,2,2026-04-20T00:18:59Z,1603795
lazy2,zerocopy-0.8.31,success,630,2026-04-20T00:29:30Z,1603795
base,allocator-api2-0.2.21,failed,25,2026-04-20T00:30:29Z,1603985
base,chacha20-0.10.0,success,699,2026-04-20T00:42:09Z,1603985
base,either-1.11.0,success,12,2026-04-20T00:42:25Z,1603985
base,foldhash-0.2.0,success,13,2026-04-20T00:42:40Z,1603985
base,getrandom-0.4.0,success,24,2026-04-20T00:43:05Z,1603985
base,hashbrown-0.16.1,success,44,2026-04-20T00:43:50Z,1603985
base,indexmap-2.13.0,success,179,2026-04-20T00:46:50Z,1603985
base,itertools-0.14.0,success,777,2026-04-20T00:59:48Z,1603985
base,libc-0.2.178,success,12,2026-04-20T01:00:04Z,1603985
base,linux-raw-sys-0.11.0,success,3,2026-04-20T01:00:08Z,1603985
base,log-0.4.29,success,12,2026-04-20T01:00:22Z,1603985
base,memchr-2.7.6,success,354,2026-04-20T01:06:17Z,1603985
base,ppv-lite86-0.2.21,success,13,2026-04-20T01:06:33Z,1603985
base,proc-macro2-1.0.101,success,22,2026-04-20T01:06:57Z,1603985
base,rand-0.10.0,success,109,2026-04-20T01:08:48Z,1603985
base,regex-automata-0.4.13,failed,73,2026-04-20T01:10:02Z,1603985
base,rustix-1.1.3,failed,7,2026-04-20T01:10:11Z,1603985
base,serde_core-1.0.228,success,10,2026-04-20T01:10:22Z,1603985
base,socket2-0.6.1,success,4,2026-04-20T01:10:27Z,1603985
base,syn-2.0.106,failed,2,2026-04-20T01:10:31Z,1603985
base,zerocopy-0.8.31,success,636,2026-04-20T01:21:08Z,1603985
lazy,allocator-api2-0.2.21,failed,25,2026-04-20T01:21:36Z,1603985
lazy,chacha20-0.10.0,success,699,2026-04-20T01:33:16Z,1603985
lazy,either-1.11.0,success,13,2026-04-20T01:33:32Z,1603985
lazy,foldhash-0.2.0,success,14,2026-04-20T01:33:48Z,1603985
lazy,getrandom-0.4.0,success,24,2026-04-20T01:34:14Z,1603985
lazy,hashbrown-0.16.1,success,44,2026-04-20T01:34:59Z,1603985
lazy,indexmap-2.13.0,success,178,2026-04-20T01:37:58Z,1603985
lazy,itertools-0.14.0,success,777,2026-04-20T01:50:57Z,1603985
lazy,libc-0.2.178,success,12,2026-04-20T01:51:12Z,1603985
lazy,linux-raw-sys-0.11.0,success,4,2026-04-20T01:51:17Z,1603985
lazy,log-0.4.29,success,13,2026-04-20T01:51:31Z,1603985
lazy,memchr-2.7.6,success,347,2026-04-20T01:57:19Z,1603985
lazy,ppv-lite86-0.2.21,success,13,2026-04-20T01:57:35Z,1603985
lazy,proc-macro2-1.0.101,success,22,2026-04-20T01:57:58Z,1603985
lazy,rand-0.10.0,success,109,2026-04-20T01:59:49Z,1603985
lazy,regex-automata-0.4.13,failed,73,2026-04-20T02:01:04Z,1603985
lazy,rustix-1.1.3,failed,7,2026-04-20T02:01:13Z,1603985
lazy,serde_core-1.0.228,success,10,2026-04-20T02:01:24Z,1603985
lazy,socket2-0.6.1,success,4,2026-04-20T02:01:29Z,1603985
lazy,syn-2.0.106,failed,1,2026-04-20T02:01:33Z,1603985
lazy,zerocopy-0.8.31,success,653,2026-04-20T02:12:28Z,1603985
lazy2,allocator-api2-0.2.21,failed,24,2026-04-20T02:12:55Z,1603985
lazy2,chacha20-0.10.0,success,694,2026-04-20T02:24:31Z,1603985
lazy2,either-1.11.0,success,12,2026-04-20T02:24:46Z,1603985
lazy2,foldhash-0.2.0,success,13,2026-04-20T02:25:01Z,1603985
lazy2,getrandom-0.4.0,success,22,2026-04-20T02:25:25Z,1603985
lazy2,hashbrown-0.16.1,success,42,2026-04-20T02:26:09Z,1603985
lazy2,indexmap-2.13.0,success,173,2026-04-20T02:29:03Z,1603985
lazy2,itertools-0.14.0,success,734,2026-04-20T02:41:19Z,1603985
lazy2,libc-0.2.178,success,13,2026-04-20T02:41:35Z,1603985
lazy2,linux-raw-sys-0.11.0,success,3,2026-04-20T02:41:39Z,1603985
lazy2,log-0.4.29,success,12,2026-04-20T02:41:52Z,1603985
lazy2,memchr-2.7.6,success,337,2026-04-20T02:47:30Z,1603985
lazy2,ppv-lite86-0.2.21,success,13,2026-04-20T02:47:46Z,1603985
lazy2,proc-macro2-1.0.101,success,22,2026-04-20T02:48:09Z,1603985
lazy2,rand-0.10.0,success,107,2026-04-20T02:49:57Z,1603985
lazy2,regex-automata-0.4.13,failed,71,2026-04-20T02:51:09Z,1603985
lazy2,rustix-1.1.3,failed,7,2026-04-20T02:51:17Z,1603985
lazy2,serde_core-1.0.228,success,10,2026-04-20T02:51:28Z,1603985
lazy2,socket2-0.6.1,success,4,2026-04-20T02:51:33Z,1603985
